"06726: Omsetning av boligeiendommer med bygning i fritt salg, etter region og år"
"region";"1992 Omsetninger (antall)";"1992 Samlet kjøpesum (1 000 kr)";"1992 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"1993 Omsetninger (antall)";"1993 Samlet kjøpesum (1 000 kr)";"1993 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"1994 Omsetninger (antall)";"1994 Samlet kjøpesum (1 000 kr)";"1994 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"1995 Omsetninger (antall)";"1995 Samlet kjøpesum (1 000 kr)";"1995 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"1996 Omsetninger (antall)";"1996 Samlet kjøpesum (1 000 kr)";"1996 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"1997 Omsetninger (antall)";"1997 Samlet kjøpesum (1 000 kr)";"1997 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"1998 Omsetninger (antall)";"1998 Samlet kjøpesum (1 000 kr)";"1998 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"1999 Omsetninger (antall)";"1999 Samlet kjøpesum (1 000 kr)";"1999 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2000 Omsetninger (antall)";"2000 Samlet kjøpesum (1 000 kr)";"2000 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2001 Omsetninger (antall)";"2001 Samlet kjøpesum (1 000 kr)";"2001 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2002 Omsetninger (antall)";"2002 Samlet kjøpesum (1 000 kr)";"2002 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2003 Omsetninger (antall)";"2003 Samlet kjøpesum (1 000 kr)";"2003 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2004 Omsetninger (antall)";"2004 Samlet kjøpesum (1 000 kr)";"2004 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2005 Omsetninger (antall)";"2005 Samlet kjøpesum (1 000 kr)";"2005 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2006 Omsetninger (antall)";"2006 Samlet kjøpesum (1 000 kr)";"2006 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2007 Omsetninger (antall)";"2007 Samlet kjøpesum (1 000 kr)";"2007 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2008 Omsetninger (antall)";"2008 Samlet kjøpesum (1 000 kr)";"2008 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2009 Omsetninger (antall)";"2009 Samlet kjøpesum (1 000 kr)";"2009 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2010 Omsetninger (antall)";"2010 Samlet kjøpesum (1 000 kr)";"2010 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2011 Omsetninger (antall)";"2011 Samlet kjøpesum (1 000 kr)";"2011 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2012 Omsetninger (antall)";"2012 Samlet kjøpesum (1 000 kr)";"2012 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2013 Omsetninger (antall)";"2013 Samlet kjøpesum (1 000 kr)";"2013 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2014 Omsetninger (antall)";"2014 Samlet kjøpesum (1 000 kr)";"2014 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2015 Omsetninger (antall)";"2015 Samlet kjøpesum (1 000 kr)";"2015 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2016 Omsetninger (antall)";"2016 Samlet kjøpesum (1 000 kr)";"2016 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2017 Omsetninger (antall)";"2017 Samlet kjøpesum (1 000 kr)";"2017 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2018 Omsetninger (antall)";"2018 Samlet kjøpesum (1 000 kr)";"2018 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2019 Omsetninger (antall)";"2019 Samlet kjøpesum (1 000 kr)";"2019 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2020 Omsetninger (antall)";"2020 Samlet kjøpesum (1 000 kr)";"2020 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2021 Omsetninger (antall)";"2021 Samlet kjøpesum (1 000 kr)";"2021 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2022 Omsetninger (antall)";"2022 Samlet kjøpesum (1 000 kr)";"2022 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2023 Omsetninger (antall)";"2023 Samlet kjøpesum (1 000 kr)";"2023 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2024 Omsetninger (antall)";"2024 Samlet kjøpesum (1 000 kr)";"2024 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2025 Omsetninger (antall)";"2025 Samlet kjøpesum (1 000 kr)";"2025 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)"
"3242 SANDEFJORD";"13";"2624";"..";"20";"7101";"..";"11";"4410";"..";"12";"6370";"..";"15";"8799";"..";"11";"6352";"..";"22";"9260";"..";"12";"11511";"..";"11";"..";"..";"6";"1431";"..";"14";"12138";"..";"26";"9480";"..";"21";"8233";"..";"35";"23167";"..";"23";"9171";"..";"35";"64033";"..";"28";"55538";"..";"29";"45537";"..";"22";"..";"..";"51";"91231";"..";"49";"49068";"..";"29";"30791";"..";"22";"42863";"..";"24";"70177";"..";"13";"38404";"..";"25";"44006";"..";"36";"93996";"..";"33";"77855";"..";"50";"92249";"..";"36";"67539";"..";"18";"18352";"..";"37";"93354";"..";"65";"86328";"..";"29";"55012";".."
"5722 DALEKVAM";"112";"61538";"..";"78";"37308";"..";"45";"14150";"..";"30";"10367";"..";"116";"43884";"..";"66";"35428";"..";"50";"13503";"..";"43";"25652";"..";"66";"59860";"..";"72";"25414";"..";"89";"85345";"..";"144";"83398";"..";"69";"60832";"..";"76";"29423";"..";"104";"165122";"..";"150";"214895";"..";"87";"..";"..";"100";"154083";"..";"229";"425028";"..";"218";"769056";"..";"93";"225344";"..";"390";"521414";"..";"142";"118667";"..";"147";"138558";"..";"142";"231746";"..";"230";"411432";"..";"126";"320699";"..";"177";"246423";"..";"138";"301010";"..";"115";"142034";"..";"99";"102599";"..";"151";"402347";"..";"81";"207123";"..";"137";"311437";".."
"0605 OSLO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"126";"329403";"..";"118";"468185";"..";"110";"244118";"..";"131";"184189";"..";"73";"149550";"..";"78";"166705";".."
"1803 ASKIM";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"19040";"..";"0";"0";"0";"0";"0";"0";"110";"147185";"..";"76";"119121";".."
"6688 VÅGLAND";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"3901";"..";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"63";"139848";"..";"54";"117500";"..";"66";"181160";"..";"103";"301935";"..";"111";"191952";"..";"126";"235002";".."
"9601 HAMMERFEST";"39";"8952";"..";"119";"37963";"..";"57";"20359";"..";"147";"..";"..";"77";"26124";"..";"95";"62113";"..";"58";"32395";"..";"112";"91536";"..";"52";"23330";"..";"153";"86165";"..";"42";"9674";"..";"125";"62340";"..";"124";"57572";"..";"122";"217845";"..";"141";"112072";"..";"153";"410655";"..";"137";"55943";"..";"177";"132913";"..";"95";"92809";"..";"148";"347486";"..";"86";"74630";"..";"107";"81250";"..";"230";"494836";"..";"230";"560776";"..";"103";"67794";"..";"89";"200969";"..";"209";"560261";"..";"103";"205621";"..";"292";"..";"..";"155";"282666";"..";"181";"423898";"..";"171";"416915";"..";"131";"537475";"..";"173";"379584";".."
"4046 HAFRSFJORD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"17";"..";"..";"26";"114431";".."
"7424 TRONDHEIM";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13";"11034";"..";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11";"28557";"..";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"13324";"..";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"495";"1602516";"..";"204";"509132";".."
"3948 PORSGRUNN";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1725";"7583041";"..";"1370";"4587939";".."
"2730 LUNNER";"18";"4123";"..";"21";"4745";"..";"38";"15314";"..";"93";"51828";"..";"42";"8085";"..";"59";"14023";"..";"39";"13004";"..";"35";"17966";"..";"45";"34633";"..";"50";"46646";"..";"87";"45091";"..";"74";"58416";"..";"57";"24285";"..";"51";"36278";"..";"96";"106075";"..";"94";"118192";"..";"83";"40551";"..";"162";"79893";"..";"63";"82167";"..";"43";"46092";"..";"58";"56289";"..";"63";"61230";"..";"84";"372439";"..";"61";"243201";"..";"59";"63790";"..";"120";"348308";"..";"60";"36551";"..";"89";"301180";"..";"61";"177436";"..";"76";"190534";"..";"95";"150334";"..";"121";"361902";"..";"42";"72285";"..";"61";"212919";".."
"7777 NORD-STATLAND";"3";"1846";"..";"4";"2083";"..";"16";"11824";"..";"5";"..";"..";"9";"3791";"..";"17";"7118";"..";"14";"3408";"..";"8";"5614";"..";"23";"22994";"..";"23";"30109";"..";"6";"10889";"..";"16";"6714";"..";"16";"..";"..";"18";"14167";"..";"23";"29574";"..";"17";"27111";"..";"19";"20349";"..";"17";"52409";"..";"30";"19911";"..";"30";"26506";"..";"15";"..";"..";"35";"179593";"..";"38";"229772";"..";"17";"17323";"..";"15";"51950";"..";"24";"52972";"..";"47";"..";"..";"18";"24911";"..";"25";"70749";"..";"32";"..";"..";"28";"116327";"..";"18";"67261";"..";"12";"32434";"..";"17";"41518";".."
"2410 HERNES";"9";"4139";"..";"12";"3623";"..";"7";"3396";"..";"5";"2811";"..";"7";"3302";"..";"4";"..";"..";"7";"5432";"..";"14";"12166";"..";"4";"1899";"..";"22";"15414";"..";"11";"7556";"..";"24";"7679";"..";"8";"3190";"..";"33";"12790";"..";"31";"20152";"..";"28";"51344";"..";"23";"30135";"..";"12";"23009";"..";"17";"16574";"..";"16";"64661";"..";"21";"31119";"..";"15";"12325";"..";"18";"39898";"..";"15";"29955";"..";"30";"36020";"..";"23";"160898";"..";"27";"15928";"..";"17";"43243";"..";"25";"26655";"..";"17";"33558";"..";"23";"30812";"..";"25";"61090";"..";"26";"62106";"..";"9";"35696";".."
"2804 GJØVIK";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"81";"53240";"..";"41";"38964";"..";"104";"61140";"..";"102";"98617";"..";"151";"324232";"..";"102";"99894";"..";"69";"46623";"..";"57";"186352";"..";"89";"142926";"..";"59";"75577";"..";"73";"266958";"..";"86";"130416";"..";"71";"222326";"..";"114";"..";"..";"102";"89847";"..";"208";"271239";"..";"137";"315866";"..";"68";"191512";"..";"124";"591511";"..";"119";"211424";".."
"3002 DRAMMEN";"8";"2299";"..";"1";"413";"..";"1";"334";"..";"4";"4193";"..";"3";"1281";"..";"1";"433";"..";"5";"2140";"..";"3";"..";"..";"6";"3884";"..";"3";"930";"..";"2";"..";"..";"3";"2874";"..";"4";"4214";"..";"2";"..";"..";"6";"..";"..";"5";"5603";"..";"2";"..";"..";"2";"2768";"..";"2";"..";"..";"7";"10414";"..";"4";"..";"..";"2";"..";"..";"5";"9219";"..";"5";"5963";"..";"4";"7717";"..";"3";"5810";"..";"11";"22016";"..";"5";"12909";"..";"7";"11167";"..";"5";"11232";"..";"6";"23131";"..";"7";"16125";"..";"5";"11545";"..";"6";"22597";".."
"2054 MOGREINA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"9653";"..";"48";"161116";"..";"48";"181767";"..";"40";"77964";"..";"69";"217361";"..";"36";"76956";"..";"72";"229436";".."
"5374 STEINSLAND";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"4181";"..";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13";"21560";"..";"0";"0";"0";"0";"0";"0";"4";"..";"..";"1113";"2380927";"..";"641";"870432";"..";"814";"1698790";"..";"749";"894439";"..";"530";"2990538";"..";"1010";"3939169";".."
"7053 RANHEIM";"279";"..";"..";"454";"170195";"..";"642";"226845";"..";"873";"278159";"..";"521";"336951";"..";"658";"389708";"..";"276";"244934";"..";"783";"735873";"..";"572";"411571";"..";"511";"318249";"..";"1067";"361491";"..";"343";"235594";"..";"707";"629657";"..";"895";"..";"..";"640";"963679";"..";"759";"659083";"..";"719";"894587";"..";"1042";"1792971";"..";"991";"1765321";"..";"427";"1029324";"..";"602";"430093";"..";"1551";"1371649";"..";"993";"784383";"..";"1171";"1336725";"..";"482";"714625";"..";"595";"1443275";"..";"959";"856361";"..";"1087";"4321403";"..";"970";"4193097";"..";"1147";"1375967";"..";"595";"2454901";"..";"985";"3551256";"..";"453";"1389246";"..";"926";"895564";".."
"2053 JESSHEIM";"100";"58877";"..";"116";"40966";"..";"148";"53391";"..";"60";"..";"..";"109";"98462";"..";"138";"55823";"..";"119";"29567";"..";"174";"165696";"..";"122";"48485";"..";"124";"77150";"..";"251";"62359";"..";"149";"86079";"..";"272";"186817";"..";"101";"103537";"..";"265";"391568";"..";"494";"535149";"..";"359";"314511";"..";"189";"348415";"..";"216";"327232";"..";"201";"418843";"..";"649";"708095";"..";"395";"878453";"..";"392";"647729";"..";"451";"2217431";"..";"299";"546793";"..";"278";"925757";"..";"319";"909722";"..";"253";"611936";"..";"472";"731337";"..";"354";"1855791";"..";"740";"1632258";"..";"539";"2291838";"..";"536";"2160898";"..";"437";"1533807";".."
"5810 BERGEN";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"21";"15051";"..";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"20";"31072";"..";"0";"0";"0";"3";"8811";"..";"185";"551935";"..";"212";"256983";"..";"315";"456134";"..";"781";"1523562";"..";"376";"960813";"..";"404";"1380881";".."
"1181 OSLO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"4544";"..";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11";"54443";"..";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"334";"1373858";"..";"422";"1150461";".."
"1501 MOSS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"16";"15943";"..";"35";"66900";"..";"24";"72540";"..";"19";"41587";"..";"25";"59677";"..";"25";"65577";".."
"3101 TØNSBERG";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"16";"22546";"..";"0";"0";"0";"4";"..";"..";"0";"0";"0";"0";"0";"0";"0";"0";"0";"47";"180497";"..";"64";"138601";"..";"80";"..";"..";"66";"175771";"..";"66";"182952";"..";"33";"97324";".."
"4851 SALTRØD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"6751";"..";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"13156";"..";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"78";"225370";"..";"99";"253742";".."
"6796 HOPLAND";"148";"83142";"..";"144";"35374";"..";"120";"72412";"..";"175";"114469";"..";"363";"86921";"..";"330";"179319";"..";"235";"100175";"..";"92";"59479";"..";"209";"251839";"..";"189";"144257";"..";"112";"..";"..";"212";"442167";"..";"203";"133941";"..";"229";"113845";"..";"174";"112398";"..";"211";"87015";"..";"202";"365556";"..";"133";"152025";"..";"280";"498448";"..";"173";"93331";"..";"335";"422334";"..";"189";"339685";"..";"481";"1404060";"..";"173";"202184";"..";"223";"248618";"..";"184";"151064";"..";"241";"521844";"..";"197";"269076";"..";"353";"1200904";"..";"126";"280668";"..";"281";"880781";"..";"137";"466353";"..";"216";"898720";"..";"346";"2178066";".."
"8064 RØST";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"32";"132913";"..";"81";"136718";"..";"37";"89681";"..";"45";"91777";"..";"89";"273388";"..";"31";"106101";".."
"1325 LYSAKER";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"23";"53929";"..";"39";"46617";"..";"52";"97761";"..";"31";"77391";"..";"53";"..";"..";"45";"113273";"..";"74";"416854";".."
"2133 GARDVIK";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"15";"22328";"..";"34";"38906";"..";"25";"48462";"..";"26";"24148";"..";"26";"84076";"..";"46";"93752";"..";"21";"75234";"..";"13";"46941";".."
"4640 SØGNE";"7";"2053";"..";"14";"5298";"..";"17";"5838";"..";"13";"4202";"..";"11";"2065";"..";"23";"8093";"..";"15";"4841";"..";"20";"3978";"..";"17";"19546";"..";"15";"5210";"..";"18";"24681";"..";"8";"5408";"..";"16";"3603";"..";"17";"12514";"..";"34";"41073";"..";"38";"..";"..";"16";"10807";"..";"25";"22532";"..";"52";"111404";"..";"42";"55399";"..";"21";"18629";"..";"41";"102474";"..";"87";"98490";"..";"37";"80916";"..";"112";"260920";"..";"27";"50262";"..";"32";"74275";"..";"19";"57791";"..";"52";"85843";"..";"36";"89250";"..";"45";"123785";"..";"47";"150249";"..";"20";"43553";"..";"38";"42653";".."
"6515 KRISTIANSUND N";"8";"3438";"..";"5";"2057";"..";"3";"..";"..";"14";"2789";"..";"18";"6333";"..";"8";"4032";"..";"8";"2299";"..";"2";"1337";"..";"6";"5863";"..";"4";"..";"..";"7";"3831";"..";"13";"15695";"..";"6";"5751";"..";"14";"15163";"..";"7";"3174";"..";"18";"15079";"..";"13";"16542";"..";"13";"10651";"..";"21";"..";"..";"16";"12081";"..";"31";"38103";"..";"7";"15953";"..";"10";"..";"..";"19";"72035";"..";"11";"23624";"..";"10";"15779";"..";"20";"57772";"..";"8";"5270";"..";"22";"53515";"..";"12";"26362";"..";"9";"7049";"..";"18";"59892";"..";"13";"54283";"..";"15";"45588";".."
"3950 BREVIK";"8";"3099";"..";"12";"9638";"..";"5";"848";"..";"3";"..";"..";"4";"1003";"..";"6";"..";"..";"11";"6596";"..";"5";"1546";"..";"5";"6641";"..";"14";"11093";"..";"4";"2470";"..";"6";"2122";"..";"26";"10638";"..";"14";"11034";"..";"17";"17514";"..";"20";"27939";"..";"6";"10965";"..";"5";"5774";"..";"3";"..";"..";"6";"6694";"..";"16";"26524";"..";"13";"31564";"..";"18";"34634";"..";"14";"25671";"..";"15";"21091";"..";"37";"94467";"..";"5";"..";"..";"23";"22623";"..";"20";"40154";"..";"16";"41008";"..";"11";"29810";"..";"22";"26619";"..";"41";"184487";"..";"20";"74664";".."
"3064 DRAMMEN";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14";"16721";"..";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"27140";"..";"4";"4935";"..";"3";"4077";"..";"20";"79611";"..";"24";"73901";"..";"11";"40355";"..";"11";"61875";"..";"9";"33695";".."
"6015 ÅLESUND";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"42";"68820";"..";"77";"131414";"..";"33";"57905";"..";"62";"178790";"..";"64";"227967";"..";"50";"113508";".."
"1701 SARPSBORG";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"36";"109969";"..";"30";"60549";"..";"51";"86448";"..";"38";"60617";"..";"26";"65224";"..";"65";"271020";"..";"54";"..";"..";"28";"78884";".."
"8516 NARVIK";"18";"4666";"..";"13";"4540";"..";"35";"10090";"..";"55";"30674";"..";"52";"32908";"..";"33";"13501";"..";"28";"12423";"..";"52";"54046";"..";"60";"57128";"..";"58";"58118";"..";"63";"56447";"..";"73";"35264";"..";"40";"18982";"..";"62";"56964";"..";"50";"60631";"..";"61";"76084";"..";"86";"..";"..";"50";"90917";"..";"52";"80353";"..";"65";"95457";"..";"70";"170835";"..";"78";"101541";"..";"103";"171899";"..";"126";"284883";"..";"61";"105217";"..";"124";"306345";"..";"106";"101487";"..";"69";"145756";"..";"68";"155066";"..";"109";"284032";"..";"121";"401199";"..";"129";"163676";"..";"120";"335300";"..";"80";"348974";".."
